stop_id,stop_name,stop_lat,stop_lon
200490,GIFFORDS LA/KATAN AV,40.553552,-74.151193
200491,GIFFORDS LA/GIBSON AV,40.555681,-74.152216
200492,GIFFORDS LA/LEVERETT AV,40.557117,-74.152847
200496,ARTHUR KILL RD/GIFFORDS LA,40.563968,-74.155575
200507,RICHMOND RD/WILDER AV,40.573193,-74.134276
200508,RICHMOND RD/ALTOONA AV,40.573670,-74.131991
200509,RICHMOND RD/BISHOP ST,40.574758,-74.128692
200534,VICTORY BL/PERRY AV,40.612471,-74.129835
200535,VICTORY BL/MOUNTAINVIEW AV,40.612738,-74.126540
200536,VICTORY BL/LESTER ST,40.612897,-74.124494
200537,VICTORY BL/MANOR RD,40.613042,-74.122229
200538,VICTORY BL/TODT HILL RD,40.613306,-74.118905
200539,VICTORY BL/SLOSSON AV,40.613476,-74.116376
200540,VICTORY BL/LITTLE CLOVE RD,40.613735,-74.112945
200541,VICTORY BL/ALBERT ST,40.614121,-74.111033
200542,VICTORY BL/RENWICK AV,40.614860,-74.107562
200543,VICTORY BL/ONTARIO AV,40.615850,-74.104658
200544,VICTORY BL/CLOVE RD,40.616261,-74.103606
200545,VICTORY BL/GRAND AV,40.617665,-74.101529
200546,VICTORY BL/HIGHLAND AV,40.619819,-74.099368
200548,VICTORY BL/THERESA PL,40.624476,-74.093568
200549,VICTORY BL/EDDY ST,40.626759,-74.091341
200550,VICTORY BL/FOREST AV,40.630279,-74.088817
200551,VICTORY BL/AUSTIN PL,40.632480,-74.086809
200552,VICTORY BL/CEBRA AV,40.634207,-74.085435
200553,VICTORY BL/JERSEY ST,40.635624,-74.083859
200570,VICTORY BL/JERSEY ST,40.635817,-74.083683
200571,VICTORY BL/CEBRA AV,40.633858,-74.086001
200572,VICTORY BL/WOODSTOCK AV,40.631793,-74.087630
200573,VICTORY BL/FOREST AV,40.630439,-74.088844
200574,VICTORY BL/EDDY ST,40.626289,-74.091852
200575,VICTORY BL/THERESA PL,40.624042,-74.094414
200576,VICTORY BL/GOLF COURSE ENT,40.622571,-74.096335
200579,VICTORY BL/MELROSE AV,40.617802,-74.101652
200580,VICTORY BL/CLOVE RD,40.616078,-74.104545
200582,VICTORY BL/ALBERT ST,40.614192,-74.111375
200583,VICTORY BL/LITTLE CLOVE RD,40.613821,-74.113636
200584,VICTORY BL/SLOSSON AV,40.613549,-74.117328
200585,VICTORY BL/HODGES PL,40.613338,-74.119863
200586,VICTORY BL/MANOR RD,40.613107,-74.123014
200612,CLOVE RD/SCHOHARIE ST,40.614308,-74.101888
200626,CLOVE RD/FOOTE AV,40.613422,-74.100349
200627,CLOVE RD/VAN CORTLANDT AV,40.614859,-74.102188
200646,CLOVE RD/BEMENT AV,40.620484,-74.109790
200652,CLOVE RD/MILFORD DR,40.610192,-74.096977
200660,HYLAN BL/NORWAY AV,40.598498,-74.081270
200661,HYLAN BL/LAMPORT BL,40.598406,-74.079120
200662,HYLAN BL/KRAMER ST,40.598016,-74.076208
200663,HYLAN BL/LINWOOD AV,40.597517,-74.073941
200664,HYLAN BL/SAND LA,40.598439,-74.072503
200694,SAND LA/McCLEAN AV,40.597025,-74.070476
200695,SAND LA/HYLAN BL,40.598571,-74.071822
200696,HYLAN BL/FINGERBOARD RD,40.601531,-74.072656
200697,HYLAN BL/BIONIA AV,40.598046,-74.075832
200698,HYLAN BL/STEUBEN ST,40.598576,-74.078051
